step,walker,sigma8,Omega_m
0,0,0.8030439314338933,0.33186955186583555
1,0,0.8030439314338933,0.33186955186583555
2,0,0.8030439314338933,0.33186955186583555
3,0,0.8028172169420646,0.33260236625294287
4,0,0.8021903278538807,0.3346011974417651
5,0,0.8021903278538807,0.3346011974417651
6,0,0.8021903278538807,0.3346011974417651
7,0,0.8027590765519409,0.3338159862774837
8,0,0.8027590765519409,0.3338159862774837
9,0,0.8027590765519409,0.3338159862774837
10,0,0.8027590765519409,0.3338159862774837
11,0,0.8028231369762056,0.3337536593605844
12,0,0.8028231369762056,0.3337536593605844
13,0,0.8028231369762056,0.3337536593605844
14,0,0.8073973089803262,0.32911481540039944
15,0,0.8073973089803262,0.32911481540039944
16,0,0.8073973089803262,0.32911481540039944
17,0,0.8073973089803262,0.32911481540039944
18,0,0.8083122406090415,0.3285229443238123
19,0,0.8083122406090415,0.3285229443238123
20,0,0.8087628057476219,0.3279399901464787
21,0,0.8087711627627883,0.3278390020498082
22,0,0.8087711627627883,0.3278390020498082
23,0,0.80886536405339,0.32764560737918186
24,0,0.80886536405339,0.32764560737918186
25,0,0.80886536405339,0.32764560737918186
26,0,0.80886536405339,0.32764560737918186
27,0,0.80886536405339,0.32764560737918186
28,0,0.8111548833798724,0.3256821882469599
29,0,0.8114428278219216,0.32564938936955784
30,0,0.8161255727786353,0.32079147503059935
31,0,0.8161255727786353,0.32079147503059935
32,0,0.8161255727786353,0.32079147503059935
33,0,0.8187790650642608,0.31868260206697835
34,0,0.8187790650642608,0.31868260206697835
35,0,0.819625558726221,0.31774364147874073
36,0,0.823913587323419,0.31278264935595207
37,0,0.8240976621744177,0.3125070102107003
38,0,0.8240976621744177,0.3125070102107003
39,0,0.8239772480540772,0.3126108573199151
40,0,0.8253214030271045,0.31118970932974005
41,0,0.8247160743190478,0.3117243227052114
42,0,0.8235413798347656,0.3129145567516193
43,0,0.823928518654129,0.3121061718763243
44,0,0.8230942289829857,0.31326858188508616
45,0,0.8223784809133784,0.3142658287031168
46,0,0.8223784809133784,0.3142658287031168
47,0,0.8210241832125701,0.3150578803565366
48,0,0.8209129063565725,0.31522378397955964
49,0,0.8209025751872616,0.3151733550678079
50,0,0.8207016635205618,0.3152921470977123
51,0,0.8208843653592488,0.3152040523127253
52,0,0.8208843653592488,0.3152040523127253
53,0,0.821320931532265,0.31486771814718356
54,0,0.821320931532265,0.31486771814718356
55,0,0.8215315861569308,0.3147613791187562
56,0,0.8217760554969478,0.3145478041880867
57,0,0.8217813432801638,0.31437830535678823
